sigma,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
TD error sigma max; lambda = 0.7,-101.96,-66.89,-62.29,-60.6,-54.8,-55.39,-64.93,-61.83,-56.66
