sigma,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
Alternating sigma per step,-152.7644,-110.5813,-92.7462,-83.2732,-77.2669,-73.3325,-73.7235,-75.2596,-81.1848
