sigma,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
Exponentially increasing sigma e,-147.0057,-105.6863,-89.3711,-80.7398,-75.6431,-73.0362,-72.4873,-75.1571,-81.5576
