sigma,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
Exponential decay sigma 0.99; lambda=0.1,-145.5164,-104.6416,-86.9916,-78.4112,-72.5034,-69.5314,-67.3619,-69.1331,-71.5802
TD error sigma; lambda = 0.1,-144.7869,-103.0451,-86.9687,-78.0418,-72.8306,-69.8128,-68.8405,-70.3465,-73.2302
Exponential decay sigma 0.99; lambda=0.3,-129.6794,-92.2451,-77.4984,-69.3807,-64.6268,-61.9915,-60.8514,-61.8102,-62.8356
TD error sigma; lambda = 0.3,-128.455,-91.0913,-76.7395,-69.2853,-64.5373,-62.896,-61.5992,-62.216,-64.9714
Exponential decay sigma; lambda = 0.5,-117.0122,-81.744,-68.7442,-61.4182,-57.1181,-55.3467,-55.2108,-55.5736,-58.1149
TD error sigma; lambda = 0.5,-110.5169,-78.1483,-66.8972,-61.0417,-57.4773,-56.4172,-56.6783,-58.5958,-61.0052
Exponential decay sigma 0.99; lambda = 0.7,-95.145,-68.6292,-58.6337,-53.8529,-51.9961,-51.7737,-52.8028,-55.2294,-58.8983
TD error sigma; lambda = 0.7,-90.0932,-65.3628,-57.3296,-53.7736,-52.4525,-53.8568,-54.4114,-58.2269,-65.4819
