sigma,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
Exponential decay sigma 0.99; lambda=0.1,-145.5164,-104.6416,-86.9916,-78.4112,-72.5034,-69.5314,-67.3619,-69.1331,-71.5802
TD error sigma max; lambda = 0.1,-145.4137,-103.6834,-87.1131,-77.2805,-71.8153,-68.4943,-66.7031,-67.0209,-68.833
Exponential decay sigma 0.99; lambda=0.3,-129.6794,-92.2451,-77.4984,-69.3807,-64.6268,-61.9915,-60.8514,-61.8102,-62.8356
TD error sigma max; lambda = 0.3,-131.735,-92.7121,-77.8076,-69.5663,-64.791,-61.5813,-60.8726,-61.1393,-62.5505
Exponential decay sigma; lambda = 0.5,-117.0122,-81.744,-68.7442,-61.4182,-57.1181,-55.3467,-55.2108,-55.5736,-58.1149
TD error sigma max; lambda = 0.5,-116.079,-81.3627,-68.7302,-62.4366,-57.7291,-55.8661,-55.5726,-56.7974,-59.6547
Exponential decay sigma 0.99; lambda = 0.7,-95.145,-68.6292,-58.6337,-53.8529,-51.9961,-51.7737,-52.8028,-55.2294,-58.8983
TD error sigma max; lambda = 0.7,-96.2477,-68.5014,-58.5622,-54.2517,-51.8164,-52.2655,-53.5687,-57.039,-59.5138
