sigma,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
Alternating sigma per epsiode; lambda = 0.1,-145.6253,-104.6819,-87.6593,-78.8281,-73.5057,-70.2709,-69.3901,-70.175,-75.3107
Exponential decay sigma 0.99; lambda=0.1,-145.5164,-104.6416,-86.9916,-78.4112,-72.5034,-69.5314,-67.3619,-69.1331,-71.5802
Alternating sigma per epsiode; lambda = 0.3,-132.0627,-93.3966,-78.3633,-70.9136,-65.7207,-64.0408,-62.5233,-64.1648,-67.7836
Exponential decay sigma 0.99; lambda=0.3,-129.6794,-92.2451,-77.4984,-69.3807,-64.6268,-61.9915,-60.8514,-61.8102,-62.8356
Alternating sigma per epsiode; lambda = 0.5,-115.3788,-81.7273,-69.393,-62.8196,-59.6365,-58.0981,-58.2208,-59.7349,-64.8957
Exponential decay sigma; lambda = 0.5,-117.0122,-81.744,-68.7442,-61.4182,-57.1181,-55.3467,-55.2108,-55.5736,-58.1149
Alternating sigma per epsiode; lambda = 0.7,-95.5604,-68.9721,-59.2642,-55.7458,-54.4288,-55.8339,-57.5171,-61.4842,-69.9381
Exponential decay sigma 0.99; lambda = 0.7,-95.145,-68.6292,-58.6337,-53.8529,-51.9961,-51.7737,-52.8028,-55.2294,-58.8983
